track_id,avi_file,camera,event_id,exit_timestamp,Model class,Model direction,human_agree,human_direction,human_class,annotator,is_rickshaw,green_plate,yellow_plate
240,Export__509 Chowk 1_Monday April 25 2022164216  a25123b.avi,509 Chowk 1,5_min__509_Chowk_1__t240,00:34.8,car,LEFT,TRUE,LEFT,car,Human1,yes,no,yes
652,Export__509 Chowk 1_Monday April 25 2022164216  a25123b.avi,509 Chowk 1,5_min__509_Chowk_1__t652,00:42.2,motorbike,DOWN,TRUE,DOWN,car,Human1,yes,no,yes
4998,Export__509 Chowk 1_Monday April 25 2022164216  a25123b.avi,509 Chowk 1,5_min__509_Chowk_1__t4998,04:07.6,car,RIGHT,TRUE,RIGHT,car,Human1,yes,no,yes
5563,Export__509 Chowk 1_Monday April 25 2022164216  a25123b.avi,509 Chowk 1,5_min__509_Chowk_1__t5563,05:00.2,car,LEFT,TRUE,LEFT,car,Human1,yes,no,yes
2472,Export__509 Chowk 1_Monday April 25 2022164553  9f0c92e.avi,509 Chowk 1,10_min__509_Chowk_1__t2472,02:19.8,bus,UP,TRUE,UP,car,Human1,yes,no,yes
6306,Export__509 Chowk 1_Monday April 25 2022164553  9f0c92e.avi,509 Chowk 1,10_min__509_Chowk_1__t6306,05:59.0,car,RIGHT,TRUE,RIGHT,car,Human1,yes,no,yes
6495,Export__509 Chowk 1_Monday April 25 2022164553  9f0c92e.avi,509 Chowk 1,10_min__509_Chowk_1__t6495,06:10.8,car,DOWN,TRUE,DOWN,car,Human1,yes,no,yes
8133,Export__509 Chowk 1_Monday April 25 2022164553  9f0c92e.avi,509 Chowk 1,10_min__509_Chowk_1__t8133,07:18.2,car,RIGHT,TRUE,RIGHT,car,Human1,yes,no,yes
9424,Export__509 Chowk 1_Monday April 25 2022164553  9f0c92e.avi,509 Chowk 1,10_min__509_Chowk_1__t9424,08:24.8,car,LEFT,TRUE,LEFT,car,Human1,yes,no,yes
1686,Export__509 Chowk 1_Monday April 25 2022165047  63a2890.avi,509 Chowk 1,15_min__509_Chowk_1__t1686,01:38.0,motorbike,RIGHT,TRUE,RIGHT,car,Human1,yes,no,yes
3923,Export__509 Chowk 1_Monday April 25 2022165047  63a2890.avi,509 Chowk 1,15_min__509_Chowk_1__t3923,03:48.2,car,UP,TRUE,UP,car,Human1,yes,no,yes
6038,Export__509 Chowk 1_Monday April 25 2022165047  63a2890.avi,509 Chowk 1,15_min__509_Chowk_1__t6038,05:40.0,motorbike,RIGHT,TRUE,RIGHT,car,Human1,yes,no,yes
7416,Export__509 Chowk 1_Monday April 25 2022165047  63a2890.avi,509 Chowk 1,15_min__509_Chowk_1__t7416,07:44.6,car,DOWN,TRUE,DOWN,car,Human1,yes,no,yes
10479,Export__509 Chowk 1_Monday April 25 2022165047  63a2890.avi,509 Chowk 1,15_min__509_Chowk_1__t10479,10:29.2,car,DOWN,TRUE,DOWN,car,Human1,yes,no,yes
10626,Export__509 Chowk 1_Monday April 25 2022165047  63a2890.avi,509 Chowk 1,15_min__509_Chowk_1__t10626,10:35.4,car,RIGHT,TRUE,RIGHT,car,Human1,yes,no,yes
5293,Export__509 Chowk 1_Monday April 25 2022165358  4088f85.avi,509 Chowk 1,20_min__509_Chowk_1__t5293,05:21.2,car,LEFT,TRUE,LEFT,car,Human1,yes,no,yes
