camera,day,primary_present,one_present,status
a2,11,True,True,primary+one
a2,12,True,True,primary+one
a2,13,True,True,primary+one
a2,14,True,True,primary+one
a2,15,True,True,primary+one
a2,16,True,True,primary+one
a2,17,True,True,primary+one
a2,18,True,True,primary+one
a3,11,True,True,primary+one
a3,12,True,True,primary+one
a3,13,True,True,primary+one
a3,14,True,True,primary+one
a3,15,True,True,primary+one
a3,16,True,True,primary+one
a3,17,True,True,primary+one
a3,18,True,True,primary+one
j1,11,True,True,primary+one
j1,12,True,True,primary+one
j1,13,True,True,primary+one
j1,14,True,True,primary+one
j1,15,True,True,primary+one
j1,16,True,True,primary+one
j1,17,True,True,primary+one
j1,18,True,True,primary+one
j2,11,True,True,primary+one
j2,12,True,True,primary+one
j2,13,True,True,primary+one
j2,14,True,True,primary+one
j2,15,True,True,primary+one
j2,16,True,True,primary+one
j2,17,True,True,primary+one
j2,18,True,True,primary+one
j3,11,True,False,primary_only
j3,12,True,False,primary_only
j3,13,True,False,primary_only
j3,14,True,True,primary+one
j3,15,True,True,primary+one
j3,16,True,True,primary+one
j3,17,True,False,primary_only
j3,18,True,False,primary_only
r1,11,True,True,primary+one
r1,12,True,True,primary+one
r1,13,True,True,primary+one
r1,14,True,True,primary+one
r1,15,True,True,primary+one
r1,16,True,True,primary+one
r1,17,True,True,primary+one
r1,18,True,True,primary+one
r2,11,True,True,primary+one
r2,12,True,True,primary+one
r2,13,True,True,primary+one
r2,14,True,True,primary+one
r2,15,True,True,primary+one
r2,16,True,True,primary+one
r2,17,True,True,primary+one
r2,18,True,True,primary+one
r3,11,True,False,primary_only
r3,12,True,False,primary_only
r3,13,True,False,primary_only
r3,14,True,False,primary_only
r3,15,True,False,primary_only
r3,16,True,False,primary_only
r3,17,True,False,primary_only
r3,18,True,False,primary_only
