Camera,Date,First Time,Last Time,Observed Duration,Expected Duration,Missing Duration,Coverage %,_one Available
a2,2023-01-11,09:00:34,12:00:31,2.9992,24.0,21.0008,12.5,Yes
a2,2023-01-12,09:00:34,12:00:15,2.9947,24.0,21.0053,12.5,Yes
a2,2023-01-13,08:59:53,11:59:43,2.9972,24.0,21.0028,12.5,Yes
a2,2023-01-14,08:59:53,11:59:40,2.9964,24.0,21.0036,12.5,Yes
a2,2023-01-15,08:59:59,11:59:43,2.9956,24.0,21.0044,12.5,Yes
a2,2023-01-16,08:59:55,11:59:25,2.9917,24.0,21.0083,12.5,Yes
a2,2023-01-17,08:59:57,11:59:39,2.995,24.0,21.005,12.5,Yes
a2,2023-01-18,08:59:57,11:58:18,2.9725,24.0,21.0275,12.4,Yes
a3,2023-01-11,09:00:39,12:00:31,2.9978,24.0,21.0022,12.5,Yes
a3,2023-01-12,08:59:58,11:58:03,2.9681,24.0,21.0319,12.4,Yes
a3,2023-01-13,08:59:52,11:59:06,2.9872,24.0,21.0128,12.4,Yes
a3,2023-01-14,08:59:58,11:59:43,2.9958,24.0,21.0042,12.5,Yes
a3,2023-01-15,08:59:58,11:59:34,2.9933,24.0,21.0067,12.5,Yes
a3,2023-01-16,08:59:57,11:58:19,2.9728,24.0,21.0272,12.4,Yes
a3,2023-01-17,08:59:54,11:58:56,2.9839,24.0,21.0161,12.4,Yes
a3,2023-01-18,08:59:55,11:58:12,2.9714,24.0,21.0286,12.4,Yes
j1,2023-01-11,08:59:57,11:59:24,2.9908,24.0,21.0092,12.5,Yes
j1,2023-01-12,08:59:57,11:59:50,2.9981,24.0,21.0019,12.5,Yes
j1,2023-01-13,08:59:53,11:59:46,2.9981,24.0,21.0019,12.5,Yes
j1,2023-01-14,08:59:53,11:59:55,3.0006,24.0,20.9994,12.5,Yes
j1,2023-01-15,08:59:57,11:59:57,3.0,24.0,21.0,12.5,Yes
j1,2023-01-16,08:59:54,11:59:55,3.0003,24.0,20.9997,12.5,Yes
j1,2023-01-17,08:59:56,11:59:58,3.0006,24.0,20.9994,12.5,Yes
j1,2023-01-18,08:59:54,11:59:20,2.9906,24.0,21.0094,12.5,Yes
j2,2023-01-11,08:59:54,11:59:09,2.9875,24.0,21.0125,12.4,Yes
j2,2023-01-12,08:59:19,11:58:51,2.9922,24.0,21.0078,12.5,Yes
j2,2023-01-13,08:59:56,11:59:10,2.9872,24.0,21.0128,12.4,Yes
j2,2023-01-14,08:59:19,11:59:02,2.9953,24.0,21.0047,12.5,Yes
j2,2023-01-15,08:59:20,11:59:05,2.9958,24.0,21.0042,12.5,Yes
j2,2023-01-16,08:59:22,11:58:37,2.9875,24.0,21.0125,12.4,Yes
j2,2023-01-17,08:59:23,11:58:31,2.9856,24.0,21.0144,12.4,Yes
j2,2023-01-18,08:59:23,11:57:50,2.9742,24.0,21.0258,12.4,Yes
j3,2023-01-11,09:00:46,12:02:48,3.0339,24.0,20.9661,12.6,No
j3,2023-01-12,08:59:55,12:01:57,3.0339,24.0,20.9661,12.6,No
j3,2023-01-13,08:59:56,12:01:58,3.0339,24.0,20.9661,12.6,No
j3,2023-01-14,08:59:57,11:59:27,2.9917,24.0,21.0083,12.5,Yes
j3,2023-01-15,08:59:58,11:59:29,2.9919,24.0,21.0081,12.5,Yes
j3,2023-01-16,08:59:59,11:59:14,2.9875,24.0,21.0125,12.4,Yes
j3,2023-01-17,08:59:55,12:01:57,3.0339,24.0,20.9661,12.6,No
j3,2023-01-18,08:59:56,12:01:58,3.0339,24.0,20.9661,12.6,No
r1,2023-01-11,09:00:06,11:57:51,2.9625,24.0,21.0375,12.3,Yes
r1,2023-01-12,08:59:53,11:59:02,2.9858,24.0,21.0142,12.4,Yes
r1,2023-01-13,08:59:57,11:58:24,2.9742,24.0,21.0258,12.4,Yes
